flights,layovers,total_duration,carbon_emissions,price,type,extensions
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 22:15'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-02 06:15'}, 'duration': 420, 'airplane': 'Boeing 787', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 808', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Wi-Fi for a fee', 'In-seat power outlet', 'Carbon emissions estimate: 370 kg'], 'overnight': True}]",,420,"{'this_flight': 370000, 'typical_for_this_route': 423000, 'difference_percent': -13}",224,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 17:15'}, 'arrival_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-01 21:00'}, 'duration': 225, 'airplane': 'Airbus A320', 'airline': 'Jetstar', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/3K.png', 'travel_class': 'Economy', 'flight_number': '3K 765', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 188 kg'], 'often_delayed_by_over_30_min': True}, {'departure_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-02 00:40'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-02 06:10'}, 'duration': 270, 'airplane': 'Airbus A320', 'airline': 'Jetstar', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/GK.png', 'travel_class': 'Economy', 'flight_number': 'GK 40', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 236 kg'], 'overnight': True}]","[{'duration': 220, 'name': 'Ninoy Aquino International Airport', 'id': 'MNL'}]",715,"{'this_flight': 425000, 'typical_for_this_route': 423000, 'difference_percent': 0}",355,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 00:40'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 09:00'}, 'duration': 440, 'airplane': 'Boeing 787', 'airline': 'ZIPAIR Tokyo', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/ZG.png', 'travel_class': 'Economy', 'flight_number': 'ZG 54', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Free Wi-Fi', 'In-seat power & USB outlets', 'Stream media to your device', 'Carbon emissions estimate: 463 kg'], 'overnight': True}]",,440,"{'this_flight': 464000, 'typical_for_this_route': 423000, 'difference_percent': 10}",366,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 23:55'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-02 08:00'}, 'duration': 425, 'airplane': 'Boeing 787', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 638', 'ticket_also_sold_by': ['ANA'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 325 kg'], 'overnight': True}]",,425,"{'this_flight': 326000, 'typical_for_this_route': 423000, 'difference_percent': -23}",824,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 02:00'}, 'arrival_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-01 05:40'}, 'duration': 220, 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 396', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'Wi-Fi for a fee', 'In-seat power outlet', 'Carbon emissions estimate: 154 kg'], 'overnight': True}, {'departure_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-01 13:25'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 19:05'}, 'duration': 280, 'airline': 'Philippines AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/Z2.png', 'travel_class': 'Economy', 'flight_number': 'Z2 192', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 236 kg'], 'often_delayed_by_over_30_min': True}]","[{'duration': 465, 'name': 'Ninoy Aquino International Airport', 'id': 'MNL'}]",965,"{'this_flight': 391000, 'typical_for_this_route': 423000, 'difference_percent': -8}",259,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 06:00'}, 'arrival_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-01 09:50'}, 'duration': 230, 'airline': 'Jetstar', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/3K.png', 'travel_class': 'Economy', 'flight_number': '3K 761', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 188 kg']}, {'departure_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-01 13:25'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 19:05'}, 'duration': 280, 'airline': 'Philippines AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/Z2.png', 'travel_class': 'Economy', 'flight_number': 'Z2 192', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 236 kg'], 'often_delayed_by_over_30_min': True}]","[{'duration': 215, 'name': 'Ninoy Aquino International Airport', 'id': 'MNL'}]",725,"{'this_flight': 425000, 'typical_for_this_route': 423000, 'difference_percent': 0}",262,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 15:15'}, 'arrival_airport': {'name': 'Xiamen Gaoqi International Airport', 'id': 'XMN', 'time': '2024-05-01 19:50'}, 'duration': 275, 'airplane': 'Boeing 787', 'airline': 'XiamenAir', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MF.png', 'travel_class': 'Economy', 'flight_number': 'MF 852', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 258 kg']}, {'departure_airport': {'name': 'Xiamen Gaoqi International Airport', 'id': 'XMN', 'time': '2024-05-02 08:30'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-02 13:45'}, 'duration': 255, 'airplane': 'Boeing 787', 'airline': 'XiamenAir', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MF.png', 'travel_class': 'Economy', 'flight_number': 'MF 815', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 190 kg']}]","[{'duration': 760, 'name': 'Xiamen Gaoqi International Airport', 'id': 'XMN', 'overnight': True}]",1290,"{'this_flight': 449000, 'typical_for_this_route': 423000, 'difference_percent': 6}",336,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 18:40'}, 'arrival_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-01 22:50'}, 'duration': 250, 'airline': 'Cebu Pacific', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/5J.png', 'travel_class': 'Economy', 'flight_number': '5J 806', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'In-seat USB outlet', 'Carbon emissions estimate: 153 kg']}, {'departure_airport': {'name': 'Ninoy Aquino International Airport', 'id': 'MNL', 'time': '2024-05-02 00:40'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-02 06:10'}, 'duration': 270, 'airplane': 'Airbus A320', 'airline': 'Jetstar', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/GK.png', 'travel_class': 'Economy', 'flight_number': 'GK 40', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 236 kg'], 'overnight': True}]","[{'duration': 110, 'name': 'Ninoy Aquino International Airport', 'id': 'MNL'}]",630,"{'this_flight': 390000, 'typical_for_this_route': 423000, 'difference_percent': -8}",392,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 01:05'}, 'arrival_airport': {'name': 'Taiwan Taoyuan International Airport', 'id': 'TPE', 'time': '2024-05-01 05:45'}, 'duration': 280, 'airplane': 'Boeing 787', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 898', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Wi-Fi for a fee', 'In-seat power outlet', 'Carbon emissions estimate: 231 kg'], 'overnight': True}, {'departure_airport': {'name': 'Taiwan Taoyuan International Airport', 'id': 'TPE', 'time': '2024-05-01 06:45'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 11:10'}, 'duration': 205, 'airplane': 'Boeing 787', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 898', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Wi-Fi for a fee', 'In-seat power outlet', 'Carbon emissions estimate: 165 kg']}]","[{'duration': 60, 'name': 'Taiwan Taoyuan International Airport', 'id': 'TPE'}]",545,"{'this_flight': 398000, 'typical_for_this_route': 423000, 'difference_percent': -6}",642,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 08:05'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 16:10'}, 'duration': 425, 'airplane': 'Boeing 767', 'airline': 'JAL', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/JL.png', 'travel_class': 'Economy', 'flight_number': 'JL 712', 'legroom': '33 in', 'extensions': ['Above average legroom (33 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 637 kg']}]",,425,"{'this_flight': 638000, 'typical_for_this_route': 423000, 'difference_percent': 51}",908,One way,
